url,round,home_team,away_team,goals_home_final,goals_away_final,final_result,goals_home_1half,goals_away_1half,1half_result,ball_possessionhome,ball_possessionaway,goal_attemptshome,goal_attemptsaway,shots_on_goalhome,shots_on_goalaway,shots_off_goalhome,shots_off_goalaway,blocked_shotshome,blocked_shotsaway,free_kickshome,free_kicksaway,corner_kickshome,corner_kicksaway,offsideshome,offsidesaway,throw_inshome,throw_insaway,goalkeeper_saveshome,goalkeeper_savesaway,foulshome,foulsaway,yellow_cardshome,yellow_cardsaway,total_passeshome,total_passesaway,tackleshome,tacklesaway,attackshome,attacksaway,dangerous_attackshome,dangerous_attacksaway,red_cardshome,red_cardsaway,completed_passeshome,completed_passesaway
https://www.scoreboard.com/uk/match/8CtOW3A7/#match-summary,6,FC Koln,Hertha,0,4,Away,0,1,Away,54,46,4,4,3,2,0,2,1,0,11,8,4,1,3,0,,,1,3,5,11,,,174.0,160.0,5.0,6.0,25,24,11,12,1.0,0.0,148.0,128.0
https://www.scoreboard.com/uk/match/UHRIhoXQ/#match-summary,6,Dusseldorf,Freiburg,1,2,Away,1,1,Draw,52,48,4,3,3,1,0,1,1,1,2,5,3,0,1,0,,,0,2,4,1,1.0,1.0,268.0,259.0,8.0,8.0,47,63,27,13,,,235.0,227.0
https://www.scoreboard.com/uk/match/IsOEgRHK/#match-summary,6,Dortmund,Bremen,2,2,Draw,2,1,Home,68,32,11,4,4,3,3,1,4,0,6,2,3,0,0,1,,,2,2,2,5,,,459.0,165.0,4.0,9.0,109,29,42,11,,,431.0,132.0
https://www.scoreboard.com/uk/match/ULsKXqe1/#match-summary,6,Augsburg,Leverkusen,0,3,Away,0,1,Away,18,82,1,4,0,2,1,1,0,1,5,8,0,2,0,0,,,1,0,9,5,2.0,0.0,102.0,465.0,0.0,2.0,39,77,7,22,,,58.0,410.0
https://www.scoreboard.com/uk/match/MevCZ5Ql/#match-summary,6,Hoffenheim,Monchengladbach,0,3,Away,0,1,Away,47,53,7,4,3,2,3,2,1,0,7,5,1,4,1,0,,,1,3,4,5,0.0,1.0,242.0,260.0,7.0,8.0,58,60,15,27,,,192.0,207.0
https://www.scoreboard.com/uk/match/zarGYPue/#match-summary,6,Mainz,Wolfsburg,0,1,Away,0,1,Away,50,50,6,2,3,2,3,0,0,0,9,2,2,1,0,0,,,1,3,2,9,1.0,1.0,223.0,234.0,10.0,13.0,38,45,27,11,,,171.0,172.0
https://www.scoreboard.com/uk/match/pUP6emm8/#match-summary,6,Paderborn,Bayern,2,3,Away,0,1,Away,37,63,3,10,1,2,0,6,2,2,5,5,5,3,2,0,,,1,1,4,5,0.0,1.0,176.0,300.0,6.0,4.0,49,49,28,27,,,136.0,255.0
https://www.scoreboard.com/uk/match/vXl7znBr/#match-summary,6,RB Leipzig,Schalke,1,3,Away,0,2,Away,63,37,6,6,2,4,4,2,0,0,6,9,4,1,0,0,,,2,2,10,4,1.0,0.0,315.0,190.0,7.0,7.0,69,58,22,10,,,250.0,124.0
https://www.scoreboard.com/uk/match/ny58xZtT/#match-summary,5,Wolfsburg,Hoffenheim,1,1,Draw,1,1,Draw,57,43,9,4,4,2,3,1,2,1,8,10,2,1,4,1,,,1,3,4,7,0.0,1.0,287.0,219.0,5.0,11.0,80,45,29,12,,,242.0,169.0
https://www.scoreboard.com/uk/match/SUnyYhkp/#match-summary,5,Frankfurt,Dortmund,2,2,Draw,1,1,Draw,35,65,6,4,2,3,2,0,2,1,7,8,2,3,0,0,,,2,1,8,7,0.0,1.0,184.0,330.0,12.0,10.0,50,53,18,18,,,131.0,284.0
https://www.scoreboard.com/uk/match/8p64wFRM/#match-summary,5,Monchengladbach,Dusseldorf,2,1,Home,0,1,Away,53,47,7,10,4,2,0,4,3,4,6,10,6,3,2,1,,,1,4,7,5,1.0,1.0,223.0,199.0,8.0,2.0,50,40,31,34,,,186.0,158.0
https://www.scoreboard.com/uk/match/6LouXC4j/#match-summary,5,Bremen,RB Leipzig,0,3,Away,0,2,Away,39,61,4,3,1,2,1,0,2,1,9,6,2,5,1,1,,,0,1,3,8,0.0,2.0,206.0,310.0,10.0,11.0,45,68,12,34,,,174.0,277.0
https://www.scoreboard.com/uk/match/fsSZhfR9/#match-summary,5,Bayern,FC Koln,4,0,Home,1,0,Home,64,36,11,6,1,1,5,3,5,2,14,9,6,2,2,1,,,1,0,7,13,1.0,0.0,307.0,165.0,7.0,5.0,56,54,18,21,,,260.0,125.0
https://www.scoreboard.com/uk/match/YRwRfGdc/#match-summary,5,Freiburg,Augsburg,1,1,Draw,1,1,Draw,64,36,6,5,4,1,1,4,1,0,6,8,2,1,1,1,,,0,3,7,5,1.0,0.0,241.0,139.0,5.0,9.0,52,34,35,18,,,192.0,91.0
https://www.scoreboard.com/uk/match/KOZMedsi/#match-summary,5,Hertha,Paderborn,2,1,Home,1,0,Home,39,61,1,9,1,3,0,3,0,3,6,7,0,4,1,1,,,3,0,6,6,1.0,1.0,169.0,250.0,9.0,15.0,60,72,13,23,,,123.0,202.0
https://www.scoreboard.com/uk/match/27RwhEtG/#match-summary,5,Leverkusen,Union Berlin,2,0,Home,2,0,Home,68,32,4,0,2,0,1,0,1,0,4,6,2,0,1,1,,,0,0,5,2,,,430.0,206.0,4.0,5.0,79,52,13,6,,,388.0,156.0
https://www.scoreboard.com/uk/match/QmeprwDi/#match-summary,4,Paderborn,Schalke,1,5,Away,1,1,Draw,46,54,3,12,1,6,2,3,0,3,7,8,0,4,0,3,,,5,0,7,5,1.0,1.0,190.0,235.0,13.0,14.0,38,75,14,24,,,138.0,186.0
https://www.scoreboard.com/uk/match/CtuUumWN/#match-summary,4,Hoffenheim,Freiburg,0,3,Away,0,2,Away,68,32,9,7,4,4,4,3,1,0,8,5,5,0,0,2,,,2,4,5,6,0.0,1.0,314.0,145.0,1.0,9.0,60,48,27,12,,,273.0,104.0
https://www.scoreboard.com/uk/match/YDbhtHs4/#match-summary,4,RB Leipzig,Bayern,1,1,Draw,1,1,Draw,24,76,4,6,2,4,1,2,1,0,3,5,1,1,0,1,,,3,1,6,2,1.0,1.0,137.0,446.0,11.0,5.0,24,91,8,29,,,92.0,406.0
https://www.scoreboard.com/uk/match/rPVazRgo/#match-summary,4,Augsburg,Frankfurt,2,1,Home,2,0,Home,37,63,9,11,6,2,1,4,2,5,5,4,1,4,1,1,,,2,4,3,3,0.0,1.0,156.0,253.0,8.0,10.0,52,63,19,36,,,109.0,202.0
https://www.scoreboard.com/uk/match/GxlcuycA/#match-summary,4,Dortmund,Leverkusen,4,0,Home,1,0,Home,35,65,5,7,4,1,0,3,1,3,8,5,1,3,1,3,,,1,3,4,4,0.0,1.0,184.0,353.0,9.0,5.0,47,62,17,17,,,139.0,310.0
https://www.scoreboard.com/uk/match/ncdtqJco/#match-summary,4,FC Koln,Monchengladbach,0,1,Away,0,1,Away,46,54,6,9,2,1,2,4,2,4,12,11,0,4,1,0,,,0,2,10,12,1.0,1.0,190.0,211.0,7.0,9.0,59,64,11,28,,,143.0,167.0
https://www.scoreboard.com/uk/match/63vYv7oU/#match-summary,4,Mainz,Hertha,2,1,Home,1,0,Home,66,34,7,5,3,2,2,3,2,0,4,4,5,0,0,0,,,2,2,4,4,1.0,1.0,288.0,144.0,11.0,9.0,66,40,23,11,,,244.0,113.0
https://www.scoreboard.com/uk/match/fNalscSc/#match-summary,4,Union Berlin,Bremen,1,2,Away,1,1,Draw,37,63,4,9,1,3,2,4,1,2,4,10,2,2,0,0,,,2,0,10,4,0.0,1.0,157.0,272.0,6.0,4.0,52,60,10,17,,,103.0,224.0
https://www.scoreboard.com/uk/match/YktQtTGH/#match-summary,3,Frankfurt,Dusseldorf,2,1,Home,0,1,Away,61,39,5,7,3,2,1,1,1,4,15,7,1,0,0,2,,,1,3,7,12,1.0,2.0,218.0,137.0,5.0,10.0,77,45,19,23,,,177.0,101.0
https://www.scoreboard.com/uk/match/p8Y7nXnt/#match-summary,3,Bremen,Augsburg,3,2,Home,2,1,Home,60,40,9,4,3,2,5,1,1,1,8,5,1,1,0,1,,,1,1,5,6,0.0,3.0,281.0,159.0,9.0,4.0,68,37,24,12,0.0,1.0,237.0,109.0
https://www.scoreboard.com/uk/match/KQQKqVWb/#match-summary,3,Union Berlin,Dortmund,3,1,Home,1,1,Draw,25,75,7,7,2,2,4,4,1,1,1,7,3,1,1,0,,,1,1,6,1,,,137.0,416.0,6.0,2.0,38,89,9,33,,,87.0,364.0
https://www.scoreboard.com/uk/match/EmQOrkn5/#match-summary,3,Bayern,Mainz,6,1,Home,2,1,Home,73,27,8,3,4,2,4,0,0,1,9,4,7,0,0,0,,,1,2,4,8,1.0,2.0,352.0,135.0,6.0,8.0,81,36,36,9,,,300.0,89.0
https://www.scoreboard.com/uk/match/ObXBoi2n/#match-summary,3,Freiburg,FC Koln,1,2,Away,1,0,Home,56,44,9,2,0,0,5,1,4,1,7,2,4,2,0,0,,,0,0,2,7,0.0,1.0,226.0,183.0,8.0,9.0,55,70,23,14,,,185.0,140.0
https://www.scoreboard.com/uk/match/hvPSs91B/#match-summary,3,Leverkusen,Hoffenheim,0,0,Draw,0,0,Draw,75,25,8,1,0,0,5,0,3,1,9,5,7,0,2,2,,,0,0,3,7,,,366.0,125.0,7.0,9.0,86,39,38,14,,,323.0,81.0
https://www.scoreboard.com/uk/match/6NMGpBHh/#match-summary,3,Schalke,Hertha,3,0,Home,1,0,Home,69,31,5,4,0,2,3,2,2,0,6,7,5,1,0,1,,,2,0,7,5,0.0,1.0,284.0,132.0,5.0,7.0,56,40,29,5,,,246.0,100.0
https://www.scoreboard.com/uk/match/YZi2RmHU/#match-summary,3,Wolfsburg,Paderborn,1,1,Draw,0,1,Away,67,33,5,2,2,2,3,0,0,0,4,5,2,2,1,0,,,1,2,3,4,,,283.0,140.0,15.0,10.0,77,32,37,13,,,229.0,88.0
