url,round,home_team,away_team,goals_home_final,goals_away_final,final_result,goals_home_1half,goals_away_1half,1half_result,ball_possessionhome,ball_possessionaway,goal_attemptshome,goal_attemptsaway,shots_on_goalhome,shots_on_goalaway,shots_off_goalhome,shots_off_goalaway,blocked_shotshome,blocked_shotsaway,free_kickshome,free_kicksaway,corner_kickshome,corner_kicksaway,offsideshome,offsidesaway,goalkeeper_saveshome,goalkeeper_savesaway,foulshome,foulsaway,yellow_cardshome,yellow_cardsaway,total_passeshome,total_passesaway,tackleshome,tacklesaway,attackshome,attacksaway,dangerous_attackshome,dangerous_attacksaway,red_cardshome,red_cardsaway,completed_passeshome,completed_passesaway,throw_inshome,throw_insaway
https://www.scoreboard.com/game/I9hb3B4S/#match-summary,26,Dortmund,Schalke,4,0,Home,2,0,Home,60,40,9,3,2,1,3,0,4,2,8,2,4,0,0,2,1,0,2,6,,,289.0,192.0,10.0,6.0,71,49,31,18,,,,,7.0,9.0
https://www.scoreboard.com/game/G4ItkLqI/#match-summary,24,Dortmund,Freiburg,1,0,Home,1,0,Home,61,39,7,6,1,2,3,1,3,3,3,2,1,2,0,1,2,0,2,2,,,412.0,258.0,2.0,6.0,70,52,18,20,,,,,,
https://www.scoreboard.com/game/MomJiK4N/#match-summary,17,Hertha Berlin,B. Monchengladbach,0,0,Draw,0,0,Draw,45,55,4,2,0,1,4,0,0,1,11,6,0,4,0,4,1,0,6,7,1.0,1.0,197.0,235.0,5.0,6.0,61,63,14,18,,,,,,
https://www.scoreboard.com/game/relFh0kH/#match-summary,17,Dusseldorf,Union Berlin,2,1,Home,1,0,Home,45,55,12,7,4,0,7,4,1,3,8,6,5,2,0,1,0,3,4,7,,,197.0,245.0,5.0,5.0,55,49,30,18,,,,,,
https://www.scoreboard.com/game/2cWXZlvE/#match-summary,21,B. Monchengladbach,FC Koln,2,1,Home,1,0,Home,58,42,4,8,3,1,1,4,0,3,4,6,1,1,1,0,1,2,6,4,0.0,1.0,321.0,218.0,5.0,7.0,61,48,24,14,,,,,,
https://www.scoreboard.com/game/d4g0I7jj/#match-summary,11,Hertha Berlin,RB Leipzig,2,4,Away,1,2,Away,30,70,4,6,2,4,2,1,0,1,7,7,0,3,1,2,2,1,5,4,1.0,1.0,148.0,335.0,8.0,6.0,36,83,4,31,,,,,,
https://www.scoreboard.com/game/xv3TOOVC/#match-summary,21,Wolfsburg,Dusseldorf,1,1,Draw,0,1,Away,56,44,4,4,1,1,3,1,0,2,8,9,1,1,2,2,0,1,6,6,,,277.0,216.0,3.0,4.0,49,55,18,16,,,,,,
https://www.scoreboard.com/game/z9k75tUb/#match-summary,24,FC Koln,Schalke,3,0,Home,2,0,Home,43,57,8,5,5,1,1,3,2,1,2,9,3,0,5,0,1,3,3,2,1.0,0.0,207.0,272.0,6.0,4.0,51,62,29,28,,,,,,
https://www.scoreboard.com/game/CtuUumWN/#match-summary,4,Hoffenheim,Freiburg,0,3,Away,0,2,Away,68,32,9,7,4,4,4,3,1,0,8,5,5,0,0,2,2,4,5,6,0.0,1.0,314.0,145.0,1.0,9.0,60,48,27,12,,,273.0,104.0,,
https://www.scoreboard.com/game/v75G1O9s/#match-summary,8,RB Leipzig,Wolfsburg,1,1,Draw,0,0,Draw,65,35,6,5,2,2,4,2,0,1,6,8,2,3,0,0,2,2,6,5,0.0,3.0,279.0,150.0,7.0,3.0,70,43,31,15,,,215.0,95.0,,
https://www.scoreboard.com/game/Yk0SrPLh/#match-summary,15,Paderborn,Union Berlin,1,1,Draw,1,1,Draw,58,42,6,9,1,2,1,5,4,2,3,2,0,2,0,1,1,0,10,8,0.0,2.0,241.0,160.0,11.0,11.0,59,53,12,26,,,,,,
https://www.scoreboard.com/game/ncdtqJco/#match-summary,4,FC Koln,B. Monchengladbach,0,1,Away,0,1,Away,46,54,6,9,2,1,2,4,2,4,12,11,0,4,1,0,0,2,10,12,1.0,1.0,190.0,211.0,7.0,9.0,59,64,11,28,,,143.0,167.0,,
