home_team,away_team,goals_home_final,goals_away_final,final_result,goals_home_1half,goals_away_1half,1half_result,ball_possessionhome,ball_possessionaway,goal_attemptshome,goal_attemptsaway,shots_on_goalhome,shots_on_goalaway,shots_off_goalhome,shots_off_goalaway,blocked_shotshome,blocked_shotsaway,free_kickshome,free_kicksaway,corner_kickshome,corner_kicksaway,offsideshome,offsidesaway,goalkeeper_saveshome,goalkeeper_savesaway,foulshome,foulsaway,yellow_cardshome,yellow_cardsaway,total_passeshome,total_passesaway,tackleshome,tacklesaway,attackshome,attacksaway,dangerous_attackshome,dangerous_attacksaway,red_cardshome,red_cardsaway,completed_passeshome,completed_passesaway
Monchengladbach,Dusseldorf,2,1,1,0,1,-1,53,47,7,10,4,2,0,4,3,4,6,10,6,3,2,1,1,4,7,5,1.0,1.0,223.0,199.0,8.0,2.0,50,40,31,34,0.0,0.0,186.0,158.0
Bremen,RB Leipzig,0,3,-1,0,2,-1,39,61,4,3,1,2,1,0,2,1,9,6,2,5,1,1,0,1,3,8,0.0,2.0,206.0,310.0,10.0,11.0,45,68,12,34,0.0,0.0,174.0,277.0
Bayern,FC Koln,4,0,1,1,0,1,64,36,11,6,1,1,5,3,5,2,14,9,6,2,2,1,1,0,7,13,1.0,0.0,307.0,165.0,7.0,5.0,56,54,18,21,0.0,0.0,260.0,125.0
Freiburg,Augsburg,1,1,0,1,1,0,64,36,6,5,4,1,1,4,1,0,6,8,2,1,1,1,0,3,7,5,1.0,0.0,241.0,139.0,5.0,9.0,52,34,35,18,0.0,0.0,192.0,91.0
Hertha,Paderborn,2,1,1,1,0,1,39,61,1,9,1,3,0,3,0,3,6,7,0,4,1,1,3,0,6,6,1.0,1.0,169.0,250.0,9.0,15.0,60,72,13,23,0.0,0.0,123.0,202.0
Leverkusen,Union Berlin,2,0,1,2,0,1,68,32,4,0,2,0,1,0,1,0,4,6,2,0,1,1,0,0,5,2,0.0,0.0,430.0,206.0,4.0,5.0,79,52,13,6,0.0,0.0,388.0,156.0
Paderborn,Schalke,1,5,-1,1,1,0,46,54,3,12,1,6,2,3,0,3,7,8,0,4,0,3,5,0,7,5,1.0,1.0,190.0,235.0,13.0,14.0,38,75,14,24,0.0,0.0,138.0,186.0
Hoffenheim,Freiburg,0,3,-1,0,2,-1,68,32,9,7,4,4,4,3,1,0,8,5,5,0,0,2,2,4,5,6,0.0,1.0,314.0,145.0,1.0,9.0,60,48,27,12,0.0,0.0,273.0,104.0
RB Leipzig,Bayern,1,1,0,1,1,0,24,76,4,6,2,4,1,2,1,0,3,5,1,1,0,1,3,1,6,2,1.0,1.0,137.0,446.0,11.0,5.0,24,91,8,29,0.0,0.0,92.0,406.0
Augsburg,Frankfurt,2,1,1,2,0,1,37,63,9,11,6,2,1,4,2,5,5,4,1,4,1,1,2,4,3,3,0.0,1.0,156.0,253.0,8.0,10.0,52,63,19,36,0.0,0.0,109.0,202.0
Dortmund,Leverkusen,4,0,1,1,0,1,35,65,5,7,4,1,0,3,1,3,8,5,1,3,1,3,1,3,4,4,0.0,1.0,184.0,353.0,9.0,5.0,47,62,17,17,0.0,0.0,139.0,310.0
FC Koln,Monchengladbach,0,1,-1,0,1,-1,46,54,6,9,2,1,2,4,2,4,12,11,0,4,1,0,0,2,10,12,1.0,1.0,190.0,211.0,7.0,9.0,59,64,11,28,0.0,0.0,143.0,167.0
Mainz,Hertha,2,1,1,1,0,1,66,34,7,5,3,2,2,3,2,0,4,4,5,0,0,0,2,2,4,4,1.0,1.0,288.0,144.0,11.0,9.0,66,40,23,11,0.0,0.0,244.0,113.0
Union Berlin,Bremen,1,2,-1,1,1,0,37,63,4,9,1,3,2,4,1,2,4,10,2,2,0,0,2,0,10,4,0.0,1.0,157.0,272.0,6.0,4.0,52,60,10,17,0.0,0.0,103.0,224.0
Frankfurt,Dusseldorf,2,1,1,0,1,-1,61,39,5,7,3,2,1,1,1,4,15,7,1,0,0,2,1,3,7,12,1.0,2.0,218.0,137.0,5.0,10.0,77,45,19,23,0.0,0.0,177.0,101.0
Bremen,Augsburg,3,2,1,2,1,1,60,40,9,4,3,2,5,1,1,1,8,5,1,1,0,1,1,1,5,6,0.0,3.0,281.0,159.0,9.0,4.0,68,37,24,12,0.0,1.0,237.0,109.0
Union Berlin,Dortmund,3,1,1,1,1,0,25,75,7,7,2,2,4,4,1,1,1,7,3,1,1,0,1,1,6,1,0.0,0.0,137.0,416.0,6.0,2.0,38,89,9,33,0.0,0.0,87.0,364.0
Bayern,Mainz,6,1,1,2,1,1,73,27,8,3,4,2,4,0,0,1,9,4,7,0,0,0,1,2,4,8,1.0,2.0,352.0,135.0,6.0,8.0,81,36,36,9,0.0,0.0,300.0,89.0
Freiburg,FC Koln,1,2,-1,1,0,1,56,44,9,2,0,0,5,1,4,1,7,2,4,2,0,0,0,0,2,7,0.0,1.0,226.0,183.0,8.0,9.0,55,70,23,14,0.0,0.0,185.0,140.0
Leverkusen,Hoffenheim,0,0,0,0,0,0,75,25,8,1,0,0,5,0,3,1,9,5,7,0,2,2,0,0,3,7,0.0,0.0,366.0,125.0,7.0,9.0,86,39,38,14,0.0,0.0,323.0,81.0
Schalke,Hertha,3,0,1,1,0,1,69,31,5,4,0,2,3,2,2,0,6,7,5,1,0,1,2,0,7,5,0.0,1.0,284.0,132.0,5.0,7.0,56,40,29,5,0.0,0.0,246.0,100.0
