home_team,away_team,goals_home_final,goals_away_final,final_result,goals_home_1half,goals_away_1half,1half_result,ball_possessionhome,ball_possessionaway,goal_attemptshome,goal_attemptsaway,shots_on_goalhome,shots_on_goalaway,shots_off_goalhome,shots_off_goalaway,blocked_shotshome,blocked_shotsaway,free_kickshome,free_kicksaway,corner_kickshome,corner_kicksaway,offsideshome,offsidesaway,goalkeeper_saveshome,goalkeeper_savesaway,foulshome,foulsaway,yellow_cardshome,yellow_cardsaway,total_passeshome,total_passesaway,tackleshome,tacklesaway,attackshome,attacksaway,dangerous_attackshome,dangerous_attacksaway,red_cardshome,red_cardsaway,completed_passeshome,completed_passesaway
Union Berlin,Hoffenheim,0,2,-1,0,0,0,45,55,7,4,0,1,4,2,3,1,6,11,5,0,2,1,1,0,9,5,1.0,3.0,178.0,223.0,6.0,4.0,71,40,23,15,0.0,0.0,0.0,0.0
Schalke,Frankfurt,1,0,1,0,0,0,63,37,7,6,3,2,3,4,1,0,6,10,3,0,2,0,2,3,8,6,0.0,1.0,264.0,162.0,3.0,10.0,55,51,24,9,0.0,0.0,0.0,0.0
Wolfsburg,Monchengladbach,2,1,1,1,1,0,42,58,9,4,5,3,3,0,1,1,9,14,2,0,1,0,2,4,13,9,2.0,1.0,185.0,258.0,11.0,7.0,42,69,11,3,0.0,0.0,0.0,0.0
Dusseldorf,RB Leipzig,0,3,-1,0,1,-1,29,71,3,9,0,2,2,5,1,2,5,6,1,4,0,0,1,0,6,4,0.0,1.0,122.0,403.0,8.0,6.0,34,74,11,24,0.0,0.0,0.0,0.0
Bayern,Bremen,6,1,1,2,1,1,69,31,13,6,5,1,4,4,4,1,9,7,3,1,0,1,0,3,5,8,2.0,1.0,350.0,125.0,8.0,10.0,100,28,29,9,0.0,0.0,0.0,0.0
FC Koln,Leverkusen,2,0,1,0,0,0,33,67,4,2,2,0,1,0,1,2,9,10,0,2,3,2,0,2,6,4,1.0,2.0,149.0,366.0,13.0,9.0,50,84,12,31,0.0,0.0,0.0,0.0
Hertha,Freiburg,1,0,1,0,0,0,45,55,8,6,3,1,3,2,2,3,2,6,0,1,0,1,1,3,5,3,1.0,0.0,225.0,285.0,5.0,3.0,42,74,14,17,0.0,0.0,0.0,0.0
Mainz,Dortmund,0,4,-1,0,1,-1,38,62,1,11,0,1,1,3,0,7,6,5,2,3,0,1,0,0,4,5,1.0,0.0,194.0,346.0,8.0,10.0,63,69,14,34,0.0,0.0,0.0,0.0
Paderborn,Union Berlin,1,1,0,1,1,0,58,42,6,9,1,2,1,5,4,2,3,2,0,2,0,1,1,0,10,8,0.0,2.0,241.0,160.0,11.0,11.0,59,53,12,26,0.0,0.0,0.0,0.0
Bremen,Paderborn,0,1,-1,0,0,0,49,51,7,8,2,3,4,2,1,3,9,5,4,3,1,2,3,2,3,7,0.0,2.0,242.0,250.0,10.0,17.0,54,49,24,18,0.0,0.0,0.0,0.0
Union Berlin,FC Koln,2,0,1,1,0,1,62,38,8,5,5,2,3,3,0,0,11,11,1,2,1,0,2,4,9,9,0.0,2.0,231.0,136.0,9.0,9.0,70,48,17,16,0.0,0.0,0.0,0.0
Leverkusen,Schalke,2,1,1,1,0,1,61,39,12,3,4,2,5,1,3,0,10,6,3,0,1,2,2,3,5,6,1.0,1.0,270.0,175.0,16.0,12.0,74,59,24,6,0.0,0.0,0.0,0.0
Augsburg,Mainz,2,1,1,1,1,0,58,42,14,5,3,3,9,1,2,1,9,8,4,0,0,1,2,2,7,8,1.0,1.0,186.0,140.0,1.0,12.0,49,40,39,5,0.0,0.0,0.0,0.0
Dortmund,Dusseldorf,5,0,1,1,0,1,74,26,11,1,3,0,6,1,2,0,7,6,3,0,1,1,0,2,5,6,0.0,2.0,459.0,170.0,8.0,7.0,91,30,55,7,0.0,0.0,0.0,0.0
Freiburg,Wolfsburg,1,0,1,0,0,0,48,52,2,3,1,0,1,2,0,1,12,7,2,2,0,0,0,1,7,12,0.0,1.0,190.0,206.0,5.0,7.0,49,65,20,19,0.0,0.0,0.0,0.0
